"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
231879	"zonderafmelding"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1403484	"samensterk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2107580	"saveourschoolplein"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1411148	"kika"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1947884	"allekinderenkunnenfietsen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
293322	"d"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1266950	"zelfsdieissprakeloos"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2103913	"magic moon"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
708217	"vakantie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
419622	"innovationday"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2495586	"election night"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
344166	"amir"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
67199	"mkb"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1923816	"straatlantaarn"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2137610	"vrijwilligers"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1673843	"ringland"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1374171	"geldersetop"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1946782	"one planet summit"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
891132	"groningen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2282193	"dink terug donderdag"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
40933	"vacature"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2338158	"ikwandel"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
564259	"montichiari"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1403355	"verkeerslichten"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
438930	"brussels"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
335824	"ruurlo"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2270432	"opdracht"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1607532	"facebook"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1542682	"icthealth"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1402583	"tips"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1330140	"ivo niehe"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
89656	"pontsteiger"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
704498	"tidaltestcentre"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
148369	"stalbranden"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
588170	"cvdeplatneuzen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
768599	"dutch kiss"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
179098	"waargaatditheen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
